,warehouse_1,warehouse_2,warehouse_3,warehouse_4,warehouse_5,warehouse_6,warehouse_7,warehouse_8,warehouse_9,warehouse_10,warehouse_11,warehouse_12,warehouse_13
product_66,0,2,0,0,1,0,0,0,0,0,1,0,0
product_67,16,5,3,1,0,1,0,0,3,0,2,0,0
product_68,26,17,0,0,10,2,0,0,0,5,21,33,0
product_69,0,0,0,0,0,0,0,0,0,0,1,0,0
product_70,0,26,0,0,0,0,0,0,0,0,0,12,0
product_71,24,11,1,0,33,0,0,0,0,0,25,0,0
product_72,0,0,0,0,0,1,0,0,0,0,0,0,0
product_73,0,14,0,0,0,7,0,0,0,0,0,0,0
product_74,0,0,0,0,0,1,0,0,0,0,0,0,0
product_75,23,1,0,0,0,4,0,0,1,0,3,0,0
product_76,2,0,0,0,0,2,0,0,2,0,0,0,0
product_77,0,0,1,0,1,0,0,0,1,20,1,0,0
product_78,15,4,0,0,0,4,0,0,8,0,0,0,0
product_79,0,0,0,0,0,1,0,0,0,0,0,0,0
product_80,10,25,0,0,0,2,0,0,0,0,0,0,0
product_81,0,63,0,0,0,76,0,0,14,1,0,29,0
product_82,75,79,0,0,0,16,0,0,0,9,0,0,0
product_83,0,122,0,0,0,57,0,0,1,0,0,0,0
product_84,0,0,0,0,32,1,0,0,0,31,78,3,0
product_85,0,0,0,0,0,1,0,0,0,0,0,0,0
product_86,1,11,2,0,0,0,0,0,0,0,0,0,0
product_87,1,4,0,0,0,1,0,0,0,0,0,0,0
product_88,0,24,0,0,0,0,0,0,0,0,14,11,0
product_89,4,5,0,0,0,0,0,0,0,0,7,0,0
product_90,0,1,1,0,1,0,0,0,6,0,0,0,0
product_91,1,0,2,0,17,2,0,0,5,0,1,0,0
product_92,5,3,0,0,0,7,0,0,0,0,0,0,0
product_93,10,1,0,0,4,0,0,0,0,0,0,0,0
product_94,0,39,0,0,0,8,0,0,0,0,6,40,0
product_95,26,38,0,0,0,41,0,0,0,0,16,0,0
product_96,24,0,0,0,0,53,0,0,0,67,0,0,0
product_97,0,0,0,0,150,49,0,0,167,113,0,1,0
product_98,242,30,1,26,28,65,0,0,45,126,32,0,0
product_99,0,0,0,0,14,21,0,0,0,0,0,0,0
product_100,0,5,0,0,0,2,0,0,0,2,0,4,0
product_101,0,2,0,0,0,1,0,0,0,0,0,0,0
product_102,0,0,0,2,0,3,0,0,0,0,1,0,0
product_103,1,0,0,0,0,45,0,0,0,8,0,0,0
product_104,0,0,0,0,0,0,0,0,5,3,1,0,0
product_105,1,9,0,0,0,1,0,0,0,0,0,0,0
product_106,11,6,9,0,3,7,0,0,0,3,0,0,0
product_107,0,0,0,0,1,1,0,0,0,0,0,0,0
product_108,0,39,0,0,7,0,0,0,0,0,0,0,0
product_109,1,3,0,0,1,1,0,0,1,0,0,0,0
product_110,0,0,1,0,0,1,0,0,0,0,0,0,0
product_111,0,0,0,0,1,2,0,0,0,1,0,0,0
product_112,0,0,2,0,13,1,0,0,0,0,0,0,0
product_113,15,0,0,0,0,7,0,0,0,0,0,0,0
product_114,0,0,0,0,0,60,0,0,0,0,0,0,0
product_115,134,845,1,4,73,24,1,1,32,54,200,564,0
product_116,1,0,0,0,0,1,0,0,0,0,0,0,0
product_117,64,1,2,0,0,67,0,0,0,334,1,1,0
product_118,1,0,1,0,1,1,0,0,0,1,0,0,0
product_119,0,0,0,0,0,0,0,0,0,0,0,1934,0
product_120,0,0,0,0,24,18,0,0,0,0,1,0,0
product_121,1,0,2,0,1,0,0,0,0,0,0,0,0
product_122,69,0,0,0,0,0,0,0,0,0,0,59,0
product_123,1321,1,39,0,0,124,0,0,1,30,5,0,0
product_124,3,0,1,0,2,23,0,0,0,12,1,0,0
product_125,1,8,0,0,1,4,0,0,2,10,0,0,0
product_126,1,3,0,0,0,92,0,0,0,2,0,1,0
product_127,0,1,0,0,0,0,0,1,0,0,0,59,0
product_128,121,1,18,29,0,83,0,0,0,0,23,0,0
product_129,0,0,72,0,32,0,0,0,0,0,7,0,0
product_130,595,1583,444,0,2590,5502,7,720,5980,2681,1760,5406,0
product_131,0,1,8,0,1,0,0,0,2,0,1,81,0
product_132,1,17,0,0,1,7,0,0,2,0,3,0,0
product_133,0,0,0,0,0,0,0,4,0,0,0,1,24
product_134,0,0,0,0,0,12,0,0,0,0,0,0,0
product_135,1,1,1,2,2,5,1,0,1623,1,5,0,0
product_136,0,0,1,0,1,0,0,0,4,1,0,0,0
product_137,0,0,3,0,0,1,0,0,0,0,0,0,0
product_138,2,543,0,0,8,20,0,0,0,0,4,0,0
product_139,0,9,1,0,1,8,0,0,12,8,103,0,0
product_140,0,0,0,0,1,0,0,0,0,0,0,0,0
product_141,0,1,0,0,0,0,0,1,0,0,0,30,0
product_142,0,0,12,0,8,39,0,0,25,6,4,7,0
product_143,0,536,0,0,0,685,0,0,202,1,3299,0,0
product_144,35,4,0,0,1,0,0,0,0,155,0,0,0
product_145,0,0,0,0,0,0,0,0,0,0,0,762,0
product_146,0,0,0,0,4,10,0,0,12,0,15,0,0
product_147,1391,0,0,1,0,0,0,0,0,0,0,344,0
product_148,0,0,0,0,0,0,0,0,0,0,1,1,0
product_149,760,83,208,579,317,492,0,0,0,320,0,0,0
product_150,0,0,0,0,0,3,0,0,0,5,0,0,0
product_151,2,0,141,0,40,212,0,1,0,4,13,0,0
product_152,1,0,124,1,7,1,0,0,6,3,36,0,0
product_153,0,0,0,0,0,0,0,0,0,3,0,0,0
product_154,0,0,0,0,0,4,0,0,3,0,5,0,0
product_155,0,0,0,0,2,5,0,0,3,0,1,0,0
product_156,45,0,3,0,5,73,0,0,0,153,172,0,0
product_157,1,0,0,0,34,74,0,0,1,0,0,0,0
product_158,0,1,46,0,100,37,0,0,0,34,24,3,0
product_159,98,0,0,1,5,5,0,0,1,0,15,1,0
product_160,1,0,0,1,0,0,1,0,0,0,0,581,0
product_161,0,62,0,0,0,0,0,0,0,0,0,0,0
product_162,0,22,20,0,0,60,0,0,3,0,7,0,0
product_163,0,17,0,0,0,0,0,15,0,0,0,29,0
product_164,20,0,4,0,0,14,0,0,0,0,0,0,0
product_165,8,22,1,1676,1,170,3,1,1351,2142,2720,1,0
product_166,5,0,0,0,0,0,0,0,24,0,12,0,0
product_167,728,0,3,0,3,469,0,0,6,0,7,0,0
product_168,0,0,0,0,0,0,0,0,0,15,0,0,0
product_169,0,0,0,0,8,0,0,0,5,30,7,0,0
product_170,0,1,0,0,0,12,0,0,0,0,0,1,0
product_171,74,31,22,1,172,126,0,0,8,757,0,0,0
product_172,0,0,0,0,0,0,0,0,0,0,0,39,0
product_173,0,0,140,0,13,19,0,0,79,1,57,0,0
product_174,24,0,0,0,0,15,0,0,2,6,0,0,0
product_175,212,10,15,0,127,121,0,0,0,198,365,0,0
product_176,0,0,2,0,203,2,0,0,0,0,12,1,0
product_177,36,14,1,0,1,3,0,0,13,1,10,0,0
product_178,5,379,4,0,1,13,1,1,0,1,1,0,0
product_179,0,0,0,0,0,0,0,0,0,5,0,0,0
product_180,0,0,10,496,0,0,0,0,0,23,1,0,0
product_181,0,0,0,0,0,3,0,0,4,0,0,0,0
product_182,0,0,0,0,0,0,21,0,12,49,1,0,0
product_183,0,97,0,0,0,70,0,0,0,0,0,0,0
product_184,0,0,0,0,129,0,0,0,0,0,0,0,0
product_185,0,0,3,0,0,0,0,0,0,3,0,0,0
product_186,1,1,60,1,68,101,1,0,0,0,53,1,0
product_187,1435,0,0,0,0,0,0,0,0,0,0,264,0
product_188,0,0,0,1,0,0,0,0,0,0,0,94,0
product_189,0,0,0,0,0,0,0,0,0,0,0,5,0
product_190,0,0,0,0,0,3,0,0,0,0,0,0,0
product_191,4125,0,1,0,0,53,0,0,0,0,0,0,0
product_192,142,0,0,133,217,202,0,0,0,35,0,1,0
product_193,0,0,0,2,7,8,0,0,267,311,32,0,0
product_194,0,0,1,0,1,6,0,0,4,0,5,0,0
product_195,0,0,0,15,0,0,0,0,0,1,0,0,0
product_196,0,0,0,0,0,8,0,0,0,0,0,0,0
product_197,0,0,17,0,44,1,0,0,30,18,0,0,0
product_198,0,1,19,0,13,14,0,0,0,11,76,0,0
product_199,0,0,0,0,0,0,0,0,0,0,0,17,0
product_200,8,1,5,0,6,0,0,0,47,40,41,0,0
product_201,0,130,0,0,10,0,0,0,47,24,236,0,0
product_202,0,12,0,1,0,0,0,0,16,16,19,0,0
product_203,1,164,0,1,0,1,0,1,22,8,1,1,0
product_204,0,0,30,1,24,0,0,0,0,142,100,0,0
product_205,1,1,14,1,0,75,0,0,38,96,0,1,0
product_206,0,0,63,1,0,1,0,0,0,3,0,0,0
product_207,0,0,26,0,29,0,2,0,50,87,0,0,0
product_208,0,0,1,0,0,0,0,0,0,25,0,0,0
product_209,0,1,0,0,0,11,0,0,0,66,43,0,0
product_210,0,0,0,0,0,0,0,0,0,7,1,1,0
product_211,0,2,0,0,0,0,0,1,0,0,0,8,1
product_212,0,0,0,0,0,14,0,0,0,0,0,0,0
product_213,0,0,0,0,0,1,0,0,0,0,1,0,0
product_214,0,12,6,0,0,1,0,0,0,0,3,0,0
product_215,0,0,0,0,0,0,0,0,0,10,0,0,0
product_216,0,0,0,0,0,0,0,0,0,1,3,0,0
product_217,1,16,1,0,4,50,0,0,0,254,66,0,30
product_218,0,0,0,0,0,1,0,0,0,0,2,0,0
product_219,0,0,0,0,0,8,0,0,0,37,0,0,0
product_220,0,1,0,0,0,0,0,0,0,0,4,0,0
product_221,39,1,0,0,17,0,0,0,0,0,9,0,0
product_222,2,1,1,0,39,1,0,1,156,0,178,0,0
product_223,0,110,0,0,0,0,0,0,0,0,0,136,0
product_224,1,69,48,0,188,129,2,3,467,1933,11,1,0
product_225,0,0,0,0,0,0,1,0,0,0,0,25,0
product_226,18,0,1,0,0,131,0,0,0,39,0,0,0
product_227,73,0,7,108,11,11,0,0,0,64,0,0,0
product_228,89,0,37,0,92,92,0,0,7,129,0,0,0
product_229,1,0,0,0,0,15,0,0,0,1,1,0,0
product_230,0,0,0,1,0,1,0,0,0,48,3,1,0
product_231,0,0,0,0,1,0,0,0,1,0,0,0,0
product_232,27,0,17,81,0,48,0,0,0,0,0,0,0
product_233,205,1,11,131,5,1,0,0,0,1,1,0,0
product_234,126,0,120,0,4,123,0,0,406,0,67,0,0
product_235,43,0,4,2,0,68,0,0,1,121,0,0,0
product_236,0,0,0,0,7,0,0,0,0,7,13,0,0
product_237,10,0,0,1,4,0,0,0,5,0,2,0,0
product_238,0,0,0,2,0,31,0,0,0,0,0,0,0
product_239,0,0,0,0,0,0,1,924,0,0,0,0,2052
product_240,0,0,211,0,98,612,1,2,61,49,797,0,0
product_241,0,0,0,0,0,30,0,0,0,15,1,0,0
product_242,0,0,0,0,0,100,0,0,0,45,0,0,0
product_243,0,0,24,1,0,180,0,0,726,0,33,0,0
product_244,38,0,0,0,76,0,0,0,60,1,0,0,0
product_245,0,0,9,0,37,0,0,0,36,3,0,0,0
product_246,0,0,0,0,0,19,0,0,0,0,0,0,0
product_247,1,55,10,1,0,534,4,0,768,899,1143,0,0
product_248,0,11,1,0,0,3,0,0,0,8,0,0,0
product_249,0,0,0,1,0,6,0,0,0,0,0,0,0
product_250,0,0,1,0,0,16,0,0,21,24,7,0,0
product_251,0,0,2,0,0,0,0,0,1,0,0,0,0
product_252,92,0,0,0,0,0,0,0,0,0,0,170,0
product_253,0,0,3,0,18,1,0,0,1,4,71,1,0
product_254,0,1,18,0,4,55,1,0,20,1,1,1,0
product_255,1,0,0,1,0,17,0,0,0,3,98,0,0
product_256,1,0,1,1,0,0,1,0,207,112,3,1,0
product_257,0,4,1,0,0,1,0,0,0,0,0,0,0
product_258,0,0,0,0,0,0,0,0,0,0,0,1,0
product_259,0,0,0,0,29,0,0,0,25,0,0,0,0
product_260,0,0,0,0,0,0,0,0,1,33,3,0,0
product_261,0,1,3,0,0,2,0,0,0,0,0,0,0
product_262,0,14,0,0,0,0,0,0,0,0,0,0,0
product_263,1,0,0,3,0,2,0,0,0,0,0,0,0
product_264,63,0,12,10,33,17,0,0,0,9,0,0,0
product_265,1,1,0,0,0,1,0,0,0,0,0,0,0
product_266,0,3,0,0,7,7,0,0,3,0,0,0,0
product_267,132,0,0,0,138,0,1,0,0,301,161,0,0
product_268,0,0,0,0,1,0,0,0,0,0,4,0,0
product_269,0,0,0,0,6,2,0,0,0,5,0,0,0
product_270,0,0,0,0,0,0,0,0,137,0,0,0,0
product_271,3,13,13,0,1,3,0,0,197,7,7,11,0
product_272,0,0,3,0,0,2,0,0,0,0,1,0,0
product_273,0,0,0,0,0,0,0,0,0,0,0,1,0
product_274,0,0,0,6,0,20,0,0,0,27,0,0,0
product_275,120,38,76,0,279,0,1,1,201,27,164,0,0
product_276,0,0,0,0,4,0,0,0,0,0,0,1582,0
product_277,0,0,0,0,0,1,0,0,45,1,16,1,0
product_278,0,1,8,0,63,0,0,0,0,0,97,0,0
product_279,81,182,51,0,39,126,0,0,240,86,237,0,0
product_280,49,0,156,0,0,119,0,0,147,373,0,0,0
product_281,0,0,0,0,0,0,0,0,8,10,27,0,0
product_282,241,24,95,0,80,65,0,0,125,0,0,1,0
product_283,0,0,0,0,0,2,0,0,1,1,6,0,0
product_284,0,0,0,0,0,2,0,0,0,0,0,0,0
product_285,0,0,0,0,1,0,0,0,1,0,1,0,0
product_286,51,0,209,0,112,354,0,0,0,0,0,0,0
product_287,0,0,0,0,0,1,0,0,0,0,0,0,0
product_288,78,1,29,23,96,9,0,1,4,40,27,1,0
product_289,0,0,113,0,0,33,0,0,0,0,0,0,0
product_290,40,0,0,0,31,3,0,0,0,2,0,0,0
product_291,2,0,0,0,0,13,0,0,2,0,12,0,0
product_292,47,1,0,0,5,0,0,0,0,0,0,0,0
product_293,5,0,17,49,0,15,0,0,0,0,9,0,0
product_294,0,0,1,0,277,133,0,0,0,0,0,0,0
product_295,0,0,0,0,0,0,0,0,0,1,0,0,0
product_296,0,0,0,0,0,465,0,0,0,0,0,0,0
product_297,3,11,3,6,5,6,3,45,1379,4495,6,6,0
product_298,0,0,0,0,0,44,0,0,3,16,0,0,0
product_299,1,1,616,0,28,2507,21,10,534,382,17,1,0
product_300,47,0,0,1,0,0,0,0,0,0,0,113,0
product_301,0,0,0,0,0,0,0,1,0,0,0,86,0
product_302,0,0,0,0,0,3,0,0,0,0,0,0,0
product_303,0,3,3,0,0,0,0,0,24,1,1,0,0
product_304,1,0,64,0,18,137,0,0,494,156,236,1,0
product_305,0,0,24,0,2,10,0,0,4,0,1,75,0
product_306,0,0,0,8,8,0,0,0,0,0,0,0,0
product_307,1,1,31,1,17,350,1,0,63,0,0,0,0
product_308,0,46,0,0,1,0,0,0,0,1,0,0,0
product_309,10,1,12,0,7,0,0,0,0,12,9,0,0
product_310,0,0,48,1,0,3,0,0,190,1,14,0,0
product_311,90,0,1,0,0,3,0,0,0,0,0,0,0
product_312,0,0,0,6,0,6,0,0,0,10,0,0,0
product_313,0,0,0,0,0,42,0,0,0,0,0,0,0
product_314,4,0,2,4,682,7,0,1,0,2,23,4,0
product_315,0,1,10,0,1,238,0,0,5,54,0,0,0
product_316,34,1454,23,3,1,6,0,0,0,2100,10,3,0
product_317,1,39,47,1,0,16,0,0,0,1,29,0,0
product_318,0,0,0,0,0,0,0,0,0,0,0,193,0
product_319,4,0,3,0,0,3,0,0,0,8,21,0,0
product_320,0,0,1,0,0,3,0,0,0,0,0,0,0
product_321,0,0,0,0,0,1,0,0,0,0,0,0,0
product_322,0,0,0,0,0,30,0,0,0,0,0,0,0
product_323,0,0,0,0,0,0,0,0,0,0,0,277,0
product_324,0,0,1,0,0,4,0,0,0,0,0,0,0
product_325,187,0,0,0,0,42,0,0,0,1,3,0,0
product_326,0,0,0,0,0,78,0,0,0,0,0,0,0
product_327,30,1,0,3,23,1,0,0,3,1,37,0,0
product_328,0,1,1,0,0,115,0,0,11,0,0,0,0
product_329,0,0,0,0,0,0,0,0,48,43,1,1,0
product_330,1,1,0,0,0,0,0,0,12,0,12,0,0
product_331,33,0,0,0,0,0,0,0,0,0,0,61,0
product_332,18,0,0,0,0,0,0,0,0,0,0,1050,0
product_333,0,0,0,0,0,0,208,308,0,0,0,563,3
product_334,0,0,0,0,0,1,0,0,0,0,4,0,0
product_335,0,653,1,1,0,0,0,0,0,0,0,2136,0
product_336,1,1,0,1,19,1,1,34,0,1,0,1,0
product_337,1,0,0,0,0,14,0,0,0,1,0,0,0
product_338,427,1305,171,1,16,168,0,0,324,118,34,1,0
product_339,157,1,98,78,55,81,0,0,0,87,118,1,0
product_340,0,0,0,0,0,0,0,0,0,6,0,0,0
product_341,0,1,27,0,4,21,0,0,135,0,69,0,0
product_342,945,0,48,0,2,13,0,0,41,0,1,1,0
product_343,14,16,0,0,41,21,0,0,0,1,0,0,0
product_344,37,0,16,0,13,6,0,1,14,1,71,4,0
product_345,7,0,0,0,0,0,0,0,0,0,0,0,0
product_346,0,0,0,0,0,6,0,0,0,0,0,0,0
product_347,19,1,0,1,0,6,0,0,45,0,0,5,0
product_348,19,14,4,0,5,2,0,0,0,32,1,0,0
product_349,1,0,0,0,32,17,0,0,0,0,0,0,0
product_350,0,1,0,0,11,0,0,0,0,0,0,0,0
product_351,4,1,35,1,164,216,0,0,0,8,107,3,0
product_352,0,0,0,0,0,36,0,0,0,4,120,0,0
product_353,8,1,3,6,138,11,4,1,1392,6,27,146,0
product_354,0,0,0,13,0,0,0,0,0,28,0,0,0
product_355,0,0,0,0,0,12,0,0,0,4,0,0,0
product_356,0,0,0,0,2,8,0,0,0,30,9,0,0
product_357,0,0,0,0,0,0,0,0,0,1,0,4,0
product_358,0,39,0,0,0,14,0,0,0,0,0,1,0
product_359,0,0,0,0,0,0,286,0,0,0,0,0,1
product_360,1,0,0,0,0,225,0,0,0,0,0,0,0
product_361,1,0,1,0,0,2,0,0,0,0,0,0,0
product_362,1,1,1,1,289,0,3,0,527,0,16,1,0
product_363,0,0,9,0,0,3,0,0,91,0,0,0,0
product_364,0,0,0,0,0,0,0,0,0,1,0,44,0
product_365,0,0,7,0,2,6,0,0,4,0,5,0,0
product_366,0,1,0,1,18,31,0,0,1,10,26,0,0
product_367,0,12,30,0,1,1,0,0,0,0,0,0,0
product_368,1,41,0,0,0,3,1,0,0,0,0,199,0
product_369,458,0,1,1,148,86,0,148,0,1,1,0,0
product_370,0,85,0,1,0,0,0,1,0,0,0,44,80
product_371,0,0,2,0,1,4,0,0,1,0,1,0,0
product_372,0,0,0,1,0,0,0,0,0,1,0,0,0
product_373,0,1,694,1,35,143,0,0,0,2,0,1,0
product_374,11,12,32,0,37,6,0,0,2,7,8,0,0
product_375,0,0,8,33,0,6,0,0,0,0,0,0,0
product_376,97,0,0,1002,0,0,0,0,0,0,0,6383,0
product_377,0,0,2,1,9,88,2,0,0,0,0,0,0
product_378,16,0,1109,190,157,318,0,0,0,259,18,0,0
product_379,0,1,14,0,0,0,0,0,0,0,1,46,0
product_380,9427,0,0,6397,0,0,0,0,0,0,0,3,0
product_381,0,0,0,0,0,11,0,0,0,0,0,12,0
product_382,0,1,0,0,0,0,0,100,25,9,22,0,0
product_383,12,1,0,0,0,11,0,0,1,0,78,1,0
product_384,0,0,314,0,52,8,0,0,0,0,35,0,0
product_385,0,43,1,0,0,0,0,0,0,209,21,0,0
product_386,0,0,0,0,0,0,0,0,0,14,0,0,0
product_387,0,0,26,0,13,0,0,0,0,34,0,1,0
product_388,290,0,57,85,102,75,0,0,0,71,0,0,0
product_389,0,0,0,0,0,0,0,0,0,0,0,30,0
product_390,0,0,1,0,0,2,0,0,4,0,5,0,0
product_391,0,0,0,0,1,1,0,0,1,1,6,0,0
product_392,6,0,26,2,1,4,0,0,0,1,0,0,0
product_393,0,0,0,0,0,1,0,0,21,0,0,0,0
product_394,7,0,10,8,10,0,0,0,0,8,0,0,0
product_395,3,3,206,0,108,123,3,2,9,23,59,0,0
product_396,0,1,0,1,0,0,0,18,0,0,0,1,326
product_397,0,0,0,0,0,21,0,0,4,0,0,0,0
product_398,1,0,0,0,0,1,0,0,4,0,0,0,0
product_399,7,1,0,1,0,0,0,0,0,2,0,1,0
product_400,0,0,1,0,1,1,0,0,0,0,0,0,0
product_401,0,0,0,617,0,1,0,0,1,431,0,0,0
product_402,0,0,0,1,0,0,0,0,2,3,2,3,0
product_403,0,1,0,0,0,0,0,0,0,5,0,0,0
product_404,0,0,4,0,0,0,0,0,9,108,20,0,0
product_405,1,1,126,0,85,0,0,0,0,53,472,0,0
product_406,40,0,0,0,0,0,0,0,0,0,0,0,0
product_407,0,480,0,0,2,0,0,0,0,0,0,160,0
product_408,0,0,0,0,0,1,0,0,115,1,21,0,1
product_409,0,0,0,0,0,1,0,0,0,0,0,0,0
product_410,0,0,0,62,1,0,0,0,0,0,1,0,0
product_411,0,0,0,11,0,0,0,0,0,89,0,0,0
product_412,1,1,0,1,0,1,0,0,0,0,3,0,0
product_413,1,0,0,0,0,0,0,0,0,7,3,0,0
product_414,1,1,0,1,0,0,0,0,0,1,0,1,0
product_415,23,114,10,1,847,0,1,0,453,1,1704,0,0
product_416,1,5,4320,2,4729,5074,2,2,2356,109,166,3,0
product_417,125,304,0,1,1,131,0,1,0,1,3,1,0
product_418,0,1,0,10,0,1,0,0,0,0,3,0,0
product_419,0,1,0,0,105,0,0,0,2,12,0,0,0
product_420,1,1,13,1,54,1,0,0,31,1,61,1,0
product_421,2,1,0,0,1,1,0,0,0,269,0,0,0
product_422,0,0,0,0,0,0,0,0,0,0,0,79,0
product_423,951,367,777,52,2187,419,1,0,304,1463,602,1,0
product_424,0,0,0,0,5,0,0,0,0,0,0,0,0
product_425,1,0,0,0,0,1,0,0,0,0,0,1,0
product_426,0,0,4,0,1,0,0,0,0,0,0,0,0
product_427,0,1,0,0,0,15,0,0,0,0,0,0,0
product_428,1,1,3,0,1,4,0,1,206,80,6,0,0
product_429,0,0,0,0,0,1,0,0,1550,0,1,0,0
product_430,91,1,1,0,703,0,0,0,508,766,73,0,0
product_431,0,0,0,0,6,0,0,0,234,11,5,0,0
product_432,49,1,49,1,0,60,0,0,34,10,1,0,0
product_433,0,1,1,0,15,1,0,0,0,0,18,0,0
product_434,12,13,8,0,0,7,0,0,0,0,21,0,0
product_435,1,1,0,1,300,0,0,0,0,1,0,1,0
product_436,0,1,76,0,86,178,0,0,142,216,16,1,0
product_437,1,1,0,0,145,0,0,0,0,0,0,0,0
product_438,0,0,0,0,0,0,0,0,1,0,0,0,0
product_439,1,1,0,0,0,8,0,0,1,0,0,1,0
product_440,0,0,240,0,13,29,0,0,304,0,79,0,0
product_441,350,0,116,0,1737,805,0,0,231,1,1,0,0
product_442,0,1,0,0,0,24,0,0,0,0,0,0,0
product_443,0,0,0,0,0,23,0,0,0,0,0,0,0
product_444,0,1,0,155,0,0,0,0,0,1,0,0,0
product_445,0,0,0,0,0,0,0,0,0,0,0,411,0
product_446,766,889,365,236,560,1049,0,1,1128,544,997,1,0
product_447,0,0,0,0,0,0,0,0,1,0,0,0,0
product_448,0,0,0,0,0,0,0,1,0,0,0,89,0
product_449,123,20,74,0,13,376,0,0,32,0,140,0,0
product_450,0,3322,0,0,54,0,0,0,0,0,8,0,0
product_451,18,0,84,0,0,15,0,0,0,1,1,0,0
product_452,35,0,1,0,0,17,0,0,0,4,0,0,0
product_453,0,0,0,0,0,1,109,0,0,0,0,0,0
product_454,0,0,0,0,0,0,1,0,0,0,0,13,0
product_455,267,0,24,1,6,14,0,0,1,1,2,1,0
product_456,0,1,0,0,0,0,1,237,0,0,0,3,1
product_457,0,32,718,6,156,411,0,0,0,0,0,0,0
product_458,0,0,0,0,1,0,0,0,44,0,0,0,0
